Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,pH Value,Soil Condition,Fertilizer Name
31.0,62.0,63.0,11,12,15,10.85242097022037,Poor,17-17-17
27.0,53.0,43.0,23,0,24,10.501154345353967,Good,28-28
34.0,65.0,54.0,38,0,0,4.129651012609997,Poor,Urea
29.0,58.0,37.0,8,0,15,7.225373215300855,Excellent,20-20
25.0,50.0,56.0,11,13,15,11.33757074655949,Moderate,17-17-17
32.0,62.0,34.0,15,0,37,10.412936496113684,Moderate,DAP
28.0,54.0,41.0,36,0,0,4.030732206140947,Good,Urea
30.0,60.0,49.0,13,0,9,5.293294788924594,Good,20-20
34.0,65.0,64.0,24,0,20,6.517111975316881,Moderate,28-28
28.0,54.0,47.0,5,18,15,9.599326626015998,Good,10-26-26
27.0,53.0,35.0,37,0,0,7.1719815302336265,Excellent,Urea
36.0,68.0,62.0,15,0,40,6.739677151328453,Moderate,DAP
34.0,65.0,57.0,9,0,13,11.869089151088716,Poor,20-20
29.0,58.0,55.0,8,8,33,10.444166748900628,Moderate,14-35-14
25.0,50.0,40.0,6,19,16,9.049067096263244,Good,10-26-26
30.0,60.0,38.0,10,0,14,5.980353361109008,Good,20-20
26.0,52.0,39.0,21,0,23,10.429145366174364,Good,28-28
31.0,62.0,32.0,39,0,0,6.853461368708677,Good,Urea
34.0,65.0,48.0,23,0,19,10.828498621443453,Moderate,28-28
27.0,53.0,34.0,42,0,0,10.42441251268482,Good,Urea
33.0,64.0,31.0,13,0,39,5.239345846920871,Moderate,DAP
29.0,58.0,42.0,9,10,22,4.397467809834766,Good,14-35-14
30.0,60.0,47.0,22,0,21,11.899402093558464,Good,28-28
27.0,53.0,59.0,10,0,15,10.727814800065584,Moderate,20-20
26.0,52.0,36.0,7,16,20,4.526210180945218,Good,10-26-26
34.0,65.0,63.0,14,0,38,8.148978852808796,Poor,DAP
28.0,54.0,43.0,10,8,29,9.1495689071983,Good,14-35-14
30.0,60.0,40.0,41,0,0,11.339680008687896,Good,Urea
29.0,58.0,65.0,14,0,35,7.843008325007927,Moderate,DAP
26.0,52.0,59.0,11,0,9,5.167848986737949,Moderate,20-20
31.0,62.0,44.0,21,0,28,6.079574874305758,Good,28-28
35.0,67.0,28.0,8,7,31,4.477378680216748,Moderate,14-35-14
29.0,58.0,30.0,13,17,16,10.427841807346104,Good,10-26-26
27.0,53.0,30.0,35,0,0,10.462362459512311,Good,Urea
36.0,68.0,50.0,12,18,19,4.460501824765568,Moderate,10-26-26
29.0,58.0,61.0,11,0,38,11.983290464014503,Moderate,DAP
30.0,60.0,26.0,8,9,30,9.269550272022464,Good,14-35-14
34.0,65.0,45.0,6,19,21,6.894001656471879,Good,10-26-26
36.0,68.0,41.0,41,0,0,6.891598466599484,Good,Urea
28.0,54.0,25.0,9,10,30,8.530767007330304,Good,14-35-14
25.0,50.0,32.0,24,0,19,9.455997673756633,Good,28-28
30.0,60.0,27.0,4,17,17,8.660176640280177,Good,10-26-26
38.0,72.0,51.0,39,0,0,11.965494514844792,Poor,Urea
36.0,60.0,43.0,15,0,41,11.394799084758802,Moderate,DAP
29.0,58.0,57.0,12,0,10,6.802977511546289,Good,20-20
27.58,59.21,31.27,20,2,15,9.607086966959088,Good,DAP
27.45,66.38,50.14,9,12,14,9.69985580045429,Moderate,28-28
27.25,63.62,40.35,28,0,22,4.0714584928603,Good,Urea
28.84,58.91,33.06,8,9,28,10.36005328899934,Good,17-17-17
25.86,48.46,46.25,40,2,0,5.687721433923491,Good,28-28
25.59,63.6,46.33,11,0,11,10.694940838424476,Good,28-28
29.17,68.19,30.65,6,4,14,8.713546179624117,Good,Urea
36.05,73.59,58.17,9,14,11,4.104180998538132,Poor,17-17-17
26.76,64.22,53.63,5,8,30,5.432076316368292,Moderate,28-28
27.66,53.58,40.96,41,0,3,11.68667533606087,Good,20-20
28.27,52.88,43.3,40,0,0,11.569955420545709,Good,10-26-26
38.39,69.51,65.09,8,1,16,7.1569605458617085,Moderate,Urea
28.74,56.8,54.07,15,0,35,10.106003983072704,Moderate,DAP
30.63,63.88,38.71,19,4,28,10.45430247959247,Moderate,DAP
26.02,52.46,31.12,11,5,12,7.36014246597285,Excellent,10-26-26
34.71,64.94,52.62,9,22,21,6.419852816137471,Moderate,14-35-14
23.71,51.25,30.5,11,0,8,4.552830404861051,Good,17-17-17
30.63,61.45,23.18,37,2,4,5.366265708366914,Poor,17-17-17
23.63,52.62,31.03,12,13,13,10.612235530444549,Good,14-35-14
27.65,58.09,69.07,16,3,32,6.902386040105573,Good,10-26-26
31.19,60.94,30.51,12,0,36,8.529381419368228,Moderate,Urea
37.12,72.87,47.06,45,2,0,8.876017468655029,Poor,Urea
33.52,60.46,47.85,7,15,16,10.111392589512509,Moderate,DAP
29.44,59.34,55.51,10,3,31,5.156237287531806,Moderate,17-17-17
33.24,69.48,65.48,8,13,28,5.624888789396892,Poor,10-26-26
20.85,53.18,43.77,2,20,19,10.130674330095529,Good,Urea
38.42,73.97,50.41,11,1,36,7.281415008929643,Poor,DAP
29.04,71.09,21.12,34,0,3,6.0087170539546655,Moderate,14-35-14
23.59,55.82,62.92,39,0,0,11.6302329337182,Moderate,Urea
38.56,73.46,30.62,11,0,32,9.43859877190291,Poor,28-28
30.87,63.94,46.2,15,0,8,5.019102866509815,Moderate,Urea
25.83,51.1,59.57,38,4,0,9.547988317481954,Moderate,Urea
34.51,63.92,70.0,14,0,35,8.309120512974086,Poor,17-17-17
31.92,62.59,27.78,18,0,25,5.099555852174864,Moderate,DAP
28.43,58.72,43.9,13,16,11,11.616385247873485,Good,20-20
27.53,55.04,57.07,4,0,14,4.461981430323677,Moderate,28-28
24.53,67.4,48.49,8,9,18,7.165067080017328,Excellent,20-20
30.82,51.91,54.23,15,4,33,4.458652898684979,Poor,14-35-14
32.53,59.45,20.16,9,15,16,10.322321270624904,Poor,17-17-17
28.17,58.69,34.11,12,8,33,10.244898415042496,Good,20-20
29.25,54.52,41.4,35,0,0,7.257028677181821,Excellent,28-28
22.26,51.36,48.36,6,16,17,4.710850504288912,Good,Urea
30.76,66.64,56.32,41,3,4,4.444264777277266,Poor,28-28
27.84,66.53,36.89,7,11,20,10.4059870876781,Good,Urea
29.21,64.21,54.95,7,11,31,8.700206295064124,Moderate,14-35-14
26.01,59.52,35.75,11,13,15,11.629035582673447,Good,28-28
29.5,55.42,51.17,23,0,23,5.817964157985966,Moderate,10-26-26
32.98,62.02,33.12,40,0,0,10.523646157283842,Moderate,10-26-26
24.24,59.04,50.07,38,0,1,4.796518465724897,Moderate,Urea
33.54,59.28,52.09,21,3,20,9.670063078889402,Poor,20-20
34.43,72.28,62.22,35,4,0,4.565640227312636,Poor,17-17-17
32.19,68.94,67.37,15,0,33,11.667288196401907,Poor,20-20
32.55,71.46,67.14,5,7,32,6.641402447335778,Poor,20-20
28.38,52.02,43.83,13,0,38,6.938240972734724,Excellent,10-26-26
25.4,43.57,38.51,36,0,0,8.703310355873937,Good,28-28
33.8,52.28,53.31,12,15,15,9.804628763985608,Poor,28-28
28.38,47.58,34.86,20,0,20,10.007497555212794,Good,28-28
28.37,59.8,35.35,23,2,16,11.92726083188168,Good,17-17-17
30.08,73.84,41.22,1,14,22,9.999833721666278,Poor,10-26-26
34.95,64.93,62.63,31,1,0,5.815006282619798,Poor,14-35-14
35.56,74.88,52.16,20,0,21,10.203091841835317,Poor,14-35-14
24.05,52.76,58.9,7,1,7,8.556018790405169,Moderate,DAP
23.42,53.65,69.68,11,3,14,5.815978978977533,Moderate,20-20
31.68,62.14,42.55,17,0,31,11.58895005757057,Moderate,17-17-17
31.03,69.0,49.46,19,0,19,6.771833052724125,Good,20-20
31.78,44.27,45.07,5,8,32,8.203666591671297,Moderate,DAP
22.3,60.64,40.78,39,0,2,6.1616889733066245,Excellent,28-28
26.39,52.62,22.27,8,1,43,4.768594146147816,Moderate,17-17-17
29.36,64.39,20.0,13,4,39,6.111433041200439,Good,10-26-26
26.67,47.94,34.08,13,0,8,4.039513321680162,Good,DAP
26.75,56.87,20.0,12,6,30,7.779551135223376,Moderate,17-17-17
30.64,65.77,32.86,24,0,17,5.737831801558582,Moderate,17-17-17
29.89,48.59,38.0,26,0,21,7.39715333544647,Excellent,28-28
28.61,62.22,41.53,8,13,18,7.248638740562648,Excellent,Urea
37.09,63.72,47.99,39,2,0,7.430266044580896,Good,17-17-17
21.78,55.6,33.66,37,3,0,11.184342889037769,Good,10-26-26
30.42,70.37,55.92,2,5,25,5.715134408697477,Poor,17-17-17
35.39,52.28,42.97,10,17,12,9.859468026711362,Moderate,10-26-26
30.53,52.17,41.92,3,15,15,4.983658328496847,Moderate,Urea
28.09,56.62,36.14,10,0,34,4.3463651648997566,Good,20-20
22.95,55.86,31.58,16,3,22,11.605198638566922,Good,28-28
32.06,75.56,55.73,18,1,38,11.571811894523057,Poor,17-17-17
38.4,67.88,62.06,11,11,16,6.306823112218186,Moderate,28-28
33.59,66.16,69.67,12,13,27,10.22316145746414,Poor,20-20
26.47,62.91,46.87,10,4,11,6.462022239116689,Excellent,28-28
31.56,58.25,29.12,13,21,14,9.98651535874944,Moderate,14-35-14
29.13,56.72,67.72,8,13,32,10.543360416305056,Moderate,17-17-17
23.35,59.98,63.83,36,4,0,4.263628631024466,Moderate,14-35-14
26.75,58.1,39.27,19,0,20,6.904739311960407,Excellent,14-35-14
30.42,48.76,42.28,41,0,1,7.0404720242663,Good,17-17-17
24.9,51.02,31.9,14,13,8,7.507351795167465,Good,17-17-17
27.31,57.3,22.41,34,1,0,8.330876416764509,Moderate,Urea
31.5,74.7,23.25,8,1,9,11.592295951796086,Poor,DAP
27.63,69.25,41.18,19,0,26,6.577214529154693,Excellent,DAP
22.59,45.7,33.13,38,0,4,10.375521865991765,Good,14-35-14
35.97,60.1,26.8,11,2,40,9.670203919256169,Moderate,20-20
27.69,55.55,27.9,26,2,22,6.367549456225908,Excellent,20-20
24.27,52.43,62.34,6,1,14,10.940041153152023,Moderate,DAP
30.42,50.01,26.27,9,3,11,7.318069940441169,Good,28-28
31.52,44.64,42.86,13,0,35,10.6661560256743,Moderate,28-28
30.64,57.57,46.45,12,4,13,6.529770140586288,Good,20-20
22.17,47.78,43.03,15,0,16,4.823759236137343,Good,28-28
36.5,65.85,42.33,5,10,32,9.852419232652036,Moderate,10-26-26
35.13,65.69,37.76,8,4,6,7.621639323793198,Moderate,28-28
24.82,53.75,47.97,6,14,10,11.545169624859206,Good,DAP
31.24,55.88,37.05,6,0,9,11.219901207681476,Moderate,Urea
29.77,46.18,63.79,5,3,14,8.949672520581473,Moderate,10-26-26
25.86,46.65,32.67,35,0,0,11.498670170281631,Good,17-17-17
30.15,60.77,42.93,44,0,0,4.352501897215077,Moderate,Urea
29.46,59.4,49.1,10,0,12,9.921130516209027,Good,28-28
29.37,64.45,64.66,38,0,0,4.125913599512331,Moderate,10-26-26
23.63,58.75,35.6,19,0,18,9.062630276456485,Good,28-28
32.45,60.24,55.92,10,5,31,9.455416708784572,Poor,28-28
37.34,63.39,25.36,15,4,39,4.118115826089256,Moderate,14-35-14
30.41,67.24,65.58,3,8,34,7.335536817772555,Moderate,17-17-17
31.9,55.45,59.87,12,0,37,9.00871935391821,Poor,14-35-14
35.85,52.79,54.13,16,13,16,10.288460414284035,Poor,17-17-17
28.87,49.91,35.02,20,0,23,10.553432616380569,Good,10-26-26
26.33,50.2,45.34,9,19,18,8.727652382891417,Good,10-26-26
29.67,58.75,40.69,35,0,0,9.135341542492265,Good,Urea
32.2,50.72,39.63,23,0,15,6.065630755431955,Good,28-28
29.24,62.15,51.65,6,0,41,4.5739450663105865,Moderate,10-26-26
34.15,71.16,41.7,37,0,1,6.173679858571806,Moderate,Urea
31.56,55.15,56.8,9,0,35,6.665744782939887,Moderate,DAP
24.76,56.88,20.0,9,0,36,8.75898594981878,Moderate,10-26-26
34.15,63.96,47.64,11,0,14,11.10189137259561,Moderate,14-35-14
30.7,57.71,38.36,9,4,18,10.408956236430544,Moderate,28-28
34.89,53.79,37.58,23,2,22,9.59974803623248,Moderate,Urea
26.7,63.42,24.65,13,1,42,9.270415790898303,Moderate,17-17-17
23.75,61.43,52.94,37,0,0,5.889652036582521,Moderate,DAP
25.73,52.9,46.14,21,0,18,4.019280229445071,Good,20-20
25.36,50.91,24.39,13,0,10,7.400233486287856,Good,20-20
36.35,61.89,65.38,39,0,0,8.494327209208258,Poor,DAP
21.91,46.66,45.27,24,0,21,11.34785189134261,Good,14-35-14
26.44,65.84,50.2,10,0,9,6.855077880617425,Good,28-28
28.93,50.28,20.33,8,0,12,6.513916604048863,Good,Urea
30.06,53.68,70.0,7,6,34,7.862450423954731,Poor,20-20
35.29,64.13,46.59,16,13,13,9.385275200896364,Moderate,14-35-14
24.61,63.9,70.0,41,2,0,10.574798122171304,Moderate,DAP
29.38,60.44,45.57,19,0,22,4.983583905534135,Good,14-35-14
30.2,51.16,32.5,20,0,19,11.225206951973565,Moderate,DAP
32.46,68.2,64.77,11,0,9,10.014814062770334,Poor,14-35-14
24.26,53.19,67.73,34,0,4,7.815988077390249,Moderate,DAP
37.9,75.51,25.35,11,0,35,4.051468094221242,Poor,DAP
31.1,55.48,46.43,34,0,2,10.226323696232429,Moderate,Urea
31.75,62.4,34.97,17,0,15,6.7036807293838265,Good,Urea
27.29,57.56,53.09,15,11,11,11.80269835764995,Moderate,20-20
26.71,55.89,69.87,15,0,40,9.082267237574907,Moderate,14-35-14
29.25,56.07,33.6,21,0,18,4.510642819927296,Good,DAP
29.73,58.67,29.64,17,0,20,4.904586086658406,Good,17-17-17
31.62,57.88,42.77,10,12,18,11.522017613997017,Moderate,14-35-14
25.93,54.07,23.84,8,13,12,4.711778007731824,Moderate,14-35-14
26.47,55.37,59.34,11,1,12,4.426665885499884,Moderate,20-20
21.92,53.0,33.57,18,0,42,11.770698956936018,Good,17-17-17
24.35,58.11,34.04,4,0,10,5.050477665675382,Good,28-28
29.55,45.99,50.06,9,4,10,7.166157507796795,Good,10-26-26
28.29,60.24,33.44,33,0,2,9.1560497438883,Good,DAP
31.31,73.26,70.0,11,2,41,7.879131563899858,Poor,14-35-14
30.05,58.21,23.31,43,0,0,7.15614813541624,Moderate,17-17-17
31.27,62.18,32.06,21,4,24,9.54320269028056,Moderate,14-35-14
32.51,61.45,70.0,10,1,32,5.778387028990181,Poor,Urea
23.98,44.94,20.0,14,11,13,10.227926883734098,Moderate,28-28
30.28,69.29,53.16,39,1,2,4.736163021158197,Poor,10-26-26
28.02,54.85,55.71,10,9,18,9.337548610780347,Moderate,20-20
28.66,56.26,39.29,37,0,1,6.000976297979512,Excellent,DAP
30.85,70.39,29.35,22,0,26,6.737413787000106,Moderate,10-26-26
24.51,62.55,65.83,13,4,5,11.874203923509572,Moderate,Urea
22.33,56.84,29.98,18,4,23,7.285225747924893,Excellent,14-35-14
29.75,55.39,28.42,42,1,4,7.988164749028946,Good,14-35-14
28.27,52.86,22.36,41,0,2,4.262340706100916,Moderate,10-26-26
33.27,67.2,40.49,17,0,12,4.229872159795064,Moderate,10-26-26
38.53,70.2,28.94,10,0,32,6.70556006054996,Moderate,17-17-17
25.2,60.02,69.92,8,14,31,11.507195367694282,Moderate,20-20
23.66,55.66,31.32,38,0,2,6.226399428546051,Excellent,20-20
35.01,71.58,39.2,9,0,16,5.132353797383426,Poor,14-35-14
36.92,69.78,32.64,12,2,31,10.71390186416438,Moderate,14-35-14
23.74,47.23,43.64,18,0,19,8.619936169028144,Good,10-26-26
30.51,48.99,28.68,6,0,11,6.521708360033106,Good,14-35-14
27.02,68.83,33.05,0,16,19,9.847800809738809,Good,Urea
27.77,42.89,59.1,6,2,13,5.739619421618281,Moderate,Urea
39.65,63.55,47.33,3,12,30,10.431787402234676,Moderate,Urea
37.27,64.08,36.28,15,4,45,8.303498865342172,Moderate,20-20
27.93,64.17,62.13,7,0,6,6.077322112727693,Good,20-20
29.95,61.75,36.58,37,0,0,7.577749919040999,Good,28-28
24.97,59.24,47.46,26,0,21,5.763597701036311,Good,20-20
27.68,61.68,59.47,18,0,36,11.050463022154602,Moderate,17-17-17
23.82,47.74,30.62,2,20,12,11.975561673817456,Good,17-17-17
34.57,69.61,57.23,38,0,0,9.575734129002946,Poor,DAP
35.1,70.14,56.12,16,0,44,11.777985837480536,Poor,20-20
33.71,59.42,29.32,16,0,38,9.213266965180855,Moderate,14-35-14
24.75,45.31,49.7,23,0,23,10.142942498866883,Good,10-26-26
37.36,59.64,53.7,3,12,31,11.823052175711949,Poor,10-26-26
32.22,56.29,48.76,35,0,2,9.856868443220332,Moderate,10-26-26
32.35,48.81,46.33,31,3,0,11.57918676253176,Moderate,20-20
40.0,80.0,59.99,42,0,0,8.248474812567238,Poor,10-26-26
25.85,62.32,48.82,33,3,0,10.58327238871254,Good,DAP
30.61,66.36,42.09,8,22,18,10.307143388905963,Moderate,DAP
34.51,54.79,54.12,5,6,26,9.667537844596254,Poor,28-28
29.66,43.74,43.31,35,3,2,4.696225521108213,Good,20-20
31.75,46.82,37.35,16,0,15,7.222700833698032,Good,DAP
25.43,68.65,39.28,20,0,17,8.16990675483101,Good,10-26-26
30.97,58.53,29.79,10,21,13,4.725963817320462,Moderate,17-17-17
28.58,71.66,46.04,10,12,9,4.374450609713854,Moderate,10-26-26
29.87,63.64,61.4,15,16,10,6.734407952841881,Good,20-20
25.09,54.56,34.08,19,0,21,10.991113097222485,Good,28-28
29.76,45.13,30.91,35,2,0,7.534792135538754,Good,DAP
31.38,69.36,35.4,35,3,0,7.024061752632997,Good,Urea
36.7,70.28,23.31,37,0,0,5.900246793956572,Poor,10-26-26
26.91,44.27,23.76,18,0,45,9.133751198901924,Moderate,10-26-26
30.83,53.08,47.02,7,0,5,7.493998072738454,Good,DAP
31.98,55.89,57.6,37,4,0,6.894297117398932,Moderate,17-17-17
30.46,48.84,33.31,23,1,25,9.13639666131476,Moderate,14-35-14
29.24,54.29,47.85,14,9,32,10.825912592889182,Good,Urea
31.38,67.84,59.74,12,0,34,5.681516918446274,Poor,10-26-26
29.08,54.19,61.72,41,0,1,11.24714367595584,Moderate,14-35-14
40.0,60.8,50.41,12,10,23,10.223659134907976,Poor,10-26-26
23.18,53.55,20.0,19,15,15,9.033193042775627,Moderate,17-17-17
32.61,54.79,70.0,40,4,0,8.018137318895542,Poor,Urea
36.12,72.17,33.4,9,0,37,4.595198523277861,Poor,Urea
23.88,57.05,35.25,40,3,0,11.850285369572871,Good,20-20
30.78,64.7,35.01,14,0,12,10.452725170523632,Moderate,10-26-26
36.46,65.08,43.87,10,8,27,5.113270147123368,Moderate,10-26-26
40.0,77.61,29.53,7,4,45,8.136961332133236,Poor,10-26-26
32.0,57.73,35.48,42,0,0,6.562173010227617,Good,10-26-26
32.69,69.21,22.19,4,10,26,10.658401652676057,Poor,20-20
29.63,45.37,21.76,14,0,11,11.88033427779711,Moderate,28-28
34.22,56.39,49.89,25,0,19,9.249315701027111,Moderate,14-35-14
36.56,76.26,36.26,7,11,34,4.912892670680058,Poor,10-26-26
37.0,62.94,55.83,35,1,0,10.177195184089712,Poor,20-20
37.66,74.6,28.6,36,3,3,10.94091691341583,Poor,DAP
36.42,75.12,46.56,14,2,37,11.451036281063978,Poor,DAP
29.92,50.41,62.32,8,9,32,11.865562730041164,Moderate,10-26-26
31.96,49.13,52.38,8,0,38,4.791901183228671,Poor,10-26-26
38.65,62.79,58.95,10,0,43,10.00756382972283,Poor,20-20
24.94,50.42,55.75,35,0,1,6.205529664066538,Good,14-35-14
26.11,52.09,44.94,25,4,22,11.48249879622939,Good,Urea
39.68,75.02,51.69,3,4,31,7.986786079314548,Poor,14-35-14
32.74,64.14,68.56,12,0,39,6.844930731796467,Moderate,10-26-26
25.3,50.31,45.77,14,1,36,4.139286138312073,Good,14-35-14
29.37,61.61,33.0,4,9,26,10.036736661116674,Good,10-26-26
35.12,61.28,35.3,11,0,36,4.53640865529921,Moderate,Urea
31.57,46.3,28.05,36,0,0,10.282858340243203,Moderate,14-35-14
38.0,61.23,26.32,9,4,38,5.386863951294934,Moderate,17-17-17
36.29,71.0,56.12,38,0,0,9.37876383206256,Poor,DAP
32.76,61.99,68.62,13,0,38,5.735474209120278,Poor,DAP
33.01,61.9,32.87,41,3,1,4.404676850711237,Moderate,28-28
27.09,64.13,38.0,28,0,27,11.17951744630472,Good,28-28
30.15,68.23,37.36,11,0,9,10.84005241235969,Moderate,28-28
31.12,54.41,55.18,12,0,31,7.831826840886434,Poor,DAP
31.08,61.81,34.73,38,3,0,6.165648371690998,Good,DAP
34.99,65.23,27.62,1,17,13,4.664570613462292,Moderate,10-26-26
28.29,46.16,41.47,3,12,16,7.773357128991876,Good,20-20
37.61,61.11,36.72,10,2,42,4.478574599042417,Moderate,Urea
36.02,69.03,54.45,21,0,22,5.803444108061088,Poor,20-20
28.58,41.09,30.84,21,0,22,5.263212423975878,Good,17-17-17
24.6,52.29,30.92,16,0,39,7.382292007700975,Excellent,DAP
29.87,56.39,37.84,13,4,6,10.024986200742866,Good,10-26-26
29.85,47.2,57.02,27,0,20,5.498098293854042,Moderate,10-26-26
26.12,63.44,63.43,5,10,36,6.007589199283356,Good,DAP
34.94,57.44,52.37,5,3,5,11.097915748922158,Poor,DAP
31.59,63.18,56.9,16,4,36,6.904329145331655,Moderate,10-26-26
37.33,67.17,37.59,11,0,42,4.894126366363921,Moderate,10-26-26
24.02,45.09,67.89,37,1,2,11.888099867869318,Moderate,14-35-14
33.56,66.29,26.04,43,2,2,6.243038640486442,Good,14-35-14
30.78,50.3,52.95,25,0,22,10.182736614787908,Poor,20-20
32.39,66.19,63.37,10,7,26,7.039757780782707,Moderate,10-26-26
31.26,67.75,26.57,23,2,22,6.706806650542613,Good,Urea
38.04,69.01,42.8,9,8,32,4.303261727309399,Moderate,10-26-26
32.73,62.66,34.5,12,1,44,11.581063838547228,Moderate,17-17-17
27.79,60.14,41.16,37,0,4,11.83785042105647,Good,10-26-26
32.24,55.75,45.85,44,0,0,9.026252137024056,Moderate,20-20
31.18,60.59,20.77,12,0,42,7.754906213194594,Poor,28-28
34.04,65.18,55.33,12,7,32,9.344350752651009,Poor,28-28
28.92,49.12,20.0,11,14,31,4.350011363172879,Moderate,17-17-17
36.08,74.86,38.71,8,20,21,8.368713015715059,Poor,10-26-26
32.57,62.47,37.05,14,3,36,11.280694541601449,Moderate,Urea
32.53,51.27,44.71,38,0,4,9.284447727720089,Moderate,14-35-14
25.19,60.71,52.06,26,0,25,10.849470817764484,Moderate,14-35-14
28.66,47.45,44.04,36,0,4,5.1253527809641,Good,20-20
24.59,58.22,64.12,9,14,12,9.298594744284056,Moderate,10-26-26
25.71,59.93,51.81,8,0,37,6.198082984144167,Good,17-17-17
28.24,54.62,35.02,10,0,12,7.375555438458122,Excellent,DAP
33.95,61.0,45.29,18,3,17,4.473214079110426,Moderate,17-17-17
33.88,59.02,35.32,11,4,27,7.197045930951165,Good,DAP
30.87,58.93,70.0,2,9,32,11.707454566669266,Poor,28-28
33.25,69.66,51.62,36,0,4,9.780344825056387,Poor,Urea
30.25,72.59,57.4,4,0,15,8.87324330490485,Poor,28-28
31.59,67.65,56.8,7,3,42,4.406053689997553,Poor,Urea
37.68,62.61,54.72,41,0,4,11.82885053356146,Poor,Urea
30.23,70.15,26.2,19,0,33,7.912672789260664,Poor,17-17-17
30.29,58.63,51.24,24,0,16,5.363523791956391,Poor,17-17-17
27.47,53.06,40.0,8,0,40,6.330816207060715,Excellent,28-28
29.05,52.0,53.16,19,0,15,11.29810429439381,Moderate,28-28
22.27,58.06,38.54,2,16,19,11.86795963808028,Good,28-28
26.4,57.87,57.72,36,0,2,7.000980214943699,Good,14-35-14
24.38,52.09,25.67,13,10,26,10.172342898962851,Good,28-28
33.24,51.28,65.32,5,14,29,6.849377485115961,Moderate,Urea
27.41,52.54,41.48,9,0,10,7.296034049107371,Excellent,Urea
